Transaction_ID,Customer_ID,Transaction_Date,Total_Purchases,Amount,Total_Amount,Product_Category,Product_Brand,Product_Type,Feedback,Shipping_Method,Payment_Method,Order_Status,Ratings,products
7751454,44993,2023-10-26 01:20:53,6,241.8230763,1450.938458,Home Decor,IKEA,Furniture,Average,Express,PayPal,Delivered,2,Bed
3615044,41633,2023-12-11 07:15:37,7,494.7496548,3463.247584,Clothing,Nike,Shoes,Good,Same-Day,Cash,Delivered,3,Sneakers
4136859,51093,2023-11-04 12:21:54,8,170.0821216,1360.656973,Clothing,Nike,Shoes,Good,Standard,Debit Card,Delivered,4,Loafers
7881792,39921,2023-08-13 13:35:43,8,44.73007248,357.8405798,Clothing,Zara,Dress,Average,Express,Cash,Delivered,2,Fit and flare dress
7983145,55219,2024-02-05 03:30:26,9,273.5569036,2462.012132,Home Decor,Bed Bath & Beyond,Bedding,Good,Standard,Debit Card,Delivered,4,Dust ruffle
8988671,42928,2024-02-12 19:10:14,7,255.5310021,1788.717015,Books,Random House,Literature,Bad,Same-Day,PayPal,Delivered,1,Literary fiction
6165743,24118,2023-08-26 17:08:43,5,282.4733033,1412.366516,Books,HarperCollins,Non-Fiction,Good,Standard,PayPal,Delivered,4,Cooking
7909514,14708,2024-01-10 11:10:40,10,101.8450917,1018.450917,Books,Penguin Books,Children's,Bad,Standard,Credit Card,Delivered,1,Games
6597288,19879,2023-06-11 12:01:52,7,61.22015982,428.5411187,Grocery,Pepsi,Soft Drink,Bad,Same-Day,Credit Card,Delivered,1,Orange soda
9663687,36499,2023-09-21 13:57:40,7,418.6696514,2930.68756,Electronics,Samsung,Smartphone,Bad,Standard,Debit Card,Delivered,1,Motorola Moto
7543546,11868,2023-10-03 09:28:02,8,487.2341417,3897.873134,Grocery,Nestle,Chocolate,Average,Standard,Debit Card,Delivered,2,Chocolate cookies
1719314,36562,2023-07-09 11:34:35,10,324.6657601,3246.657601,Electronics,Samsung,Tablet,Good,Standard,Debit Card,Delivered,3,Huawei MediaPad
6384323,69149,2024-02-22 11:53:51,5,274.9206174,1374.603087,Home Decor,IKEA,Furniture,Good,Standard,PayPal,Delivered,3,Bed
8437218,53429,2024-02-08 22:13:22,5,138.1816721,690.9083603,Electronics,Apple,Tablet,Bad,Standard,Credit Card,Delivered,1,Acer Iconia Tab
5372082,90134,2024-01-08 02:39:46,8,311.9532364,2495.625891,Grocery,Coca-Cola,Juice,Excellent,Same-Day,Cash,Delivered,5,Mixed fruit juice
3666491,14491,2023-08-04 02:44:00,3,69.70811935,209.124358,Grocery,Coca-Cola,Water,Average,Express,Cash,Delivered,2,Alkaline water
4499524,69780,2023-09-17 19:09:48,8,125.2615789,1002.092631,Electronics,Apple,Laptop,Good,Same-Day,Debit Card,Delivered,3,Razer Blade
7366515,80421,2023-08-14 15:12:20,4,291.2401998,1164.960799,Home Decor,Home Depot,Decorations,Bad,Express,Credit Card,Delivered,1,Picture frames
1376830,41345,2023-03-15 07:28:09,8,34.78791659,278.3033328,Electronics,Samsung,Tablet,Good,Same-Day,Cash,Delivered,4,Acer Iconia Tab
4832893,40376,2024-02-21 01:21:40,9,222.6693032,2004.023728,Books,Random House,Non-Fiction,Bad,Standard,PayPal,Delivered,1,Health
8828140,54415,2023-11-16 08:06:45,1,305.0078448,305.0078448,Home Decor,Bed Bath & Beyond,Bathroom,Excellent,Same-Day,PayPal,Delivered,5,Toilet paper holder
6138057,59523,2023-06-13 00:38:58,5,475.8092653,2379.046327,Clothing,Zara,Dress,Bad,Same-Day,Credit Card,Delivered,1,Fit and flare dress
7523534,85060,2023-03-20 16:35:00,10,66.37936092,663.7936092,Electronics,Sony,Television,Excellent,Standard,PayPal,Delivered,4,QLED TV
4306403,12868,2023-08-28 09:56:47,9,47.53421832,427.8079649,Clothing,Adidas,Jacket,Average,Standard,Cash,Delivered,2,Windbreaker
5102690,24224,2023-05-05 17:13:43,1,118.2965676,118.2965676,Books,Random House,Literature,Average,Same-Day,Cash,Delivered,2,Essays
5712736,97605,2023-08-15 13:31:48,8,481.8666012,3854.93281,Home Decor,IKEA,Furniture,Average,Same-Day,PayPal,Delivered,2,Sofa
6780542,36076,2023-03-21 05:27:35,6,332.2234079,1993.340448,Books,Random House,Fiction,Good,Standard,PayPal,Delivered,3,Fantasy
8887225,73764,2023-09-17 21:21:06,6,404.6646728,2427.988037,Electronics,Sony,Smartphone,Bad,Express,Credit Card,Delivered,1,LG G
7917517,21796,2023-09-12 23:19:36,9,266.7597481,2400.837733,Books,Random House,Fiction,Excellent,Express,Debit Card,Delivered,4,Historical fiction
5355009,71854,2023-08-04 20:39:49,7,151.5080533,1060.556373,Clothing,Adidas,Jacket,Good,Standard,PayPal,Delivered,4,Leather jacket
8834065,93233,2023-11-01 02:10:11,10,128.2260384,1282.260384,Grocery,Nestle,Snacks,Bad,Standard,Credit Card,Delivered,1,Chips
5378965,46809,2023-10-06 14:33:11,8,119.5966333,956.773066,Home Decor,Home Depot,Tools,Good,Standard,Credit Card,Delivered,3,Utility knife
6924994,37305,2024-01-15 13:25:16,5,17.75729206,88.78646028,Grocery,Pepsi,Soft Drink,Bad,Express,PayPal,Delivered,1,Iced tea
6103227,26544,2023-12-23 01:04:24,4,193.5674729,774.2698915,Clothing,Nike,Shorts,Good,Same-Day,Credit Card,Delivered,4,Cycling shorts
8520504,70725,2023-08-24 14:14:33,10,397.6636173,3976.636173,Electronics,Apple,Laptop,Excellent,Same-Day,Credit Card,Delivered,5,Razer Blade
4439730,35732,2024-02-15 22:27:44,1,206.1247269,206.1247269,Home Decor,IKEA,Lighting,Average,Express,Debit Card,Delivered,2,Under cabinet lighting
1878922,96452,2023-12-24 12:03:59,3,204.6363262,613.9089787,Electronics,Apple,Tablet,Excellent,Express,Credit Card,Delivered,4,Asus ZenPad
